TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,TransactionAmount_bin,AccountBalance_bin,Target
14.089999999999975,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,1,2,1
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,2,0,0
126.29000000000002,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,1,1,0
184.5,26.0,25.0,1.0,8569.06,Debit,Raleigh,Online,Student,1,2,1
92.15,18.0,172.0,1.0,781.6800000000003,Debit,Oklahoma City,ATM,Student,1,1,0
7.079999999999984,37.0,139.0,1.0,13316.71,Credit,Seattle,ATM,Doctor,1,0,1
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Branch,Retired,1,1,0
106.23000000000002,51.0,86.0,1.0,9095.14,Credit,Detroit,Branch,Engineer,1,2,2
815.96,55.0,120.0,1.0,1021.8800000000006,Debit,Nashville,ATM,Doctor,0,1,0
17.779999999999973,52.0,59.0,1.0,7599.52,Credit,Albuquerque,Online,Engineer,1,2,2
190.02,21.0,173.0,1.0,1528.81,Debit,Memphis,Online,Student,1,1,0
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Branch,Student,2,1,0
781.76,26.0,123.0,1.0,189.6899999999996,Debit,Memphis,ATM,Student,0,1,0
166.99,18.0,134.0,1.0,299.9300000000003,Debit,Louisville,Online,Student,1,1,0
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,ATM,Engineer,2,1,2
555.8,19.0,158.0,1.0,1131.2600000000002,Credit,Austin,Branch,Student,2,1,2
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Online,Engineer,2,2,2
18.680000000000007,59.0,106.0,1.0,7948.37,Credit,Albuquerque,Branch,Retired,1,2,2
71.48000000000005,18.0,169.0,1.0,6568.59,Credit,Columbus,Online,Student,1,2,2
59.31999999999999,71.0,38.0,1.0,5750.89,Debit,Los Angeles,Branch,Retired,1,2,0
85.76999999999995,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Branch,Doctor,1,2,0
52.19999999999999,39.0,120.0,1.0,8974.93,Debit,Atlanta,Online,Engineer,1,2,2
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,Online,Student,1,1,1
7.490000000000009,65.0,276.0,1.0,3634.67,Credit,Houston,Online,Retired,1,1,0
40.31999999999999,37.0,95.0,1.0,2686.52,Debit,Milwaukee,Branch,Engineer,1,1,0
127.44999999999999,44.0,197.0,1.0,1772.06,Debit,Las Vegas,Online,Doctor,1,1,0
56.170000000000016,27.0,283.0,1.0,1351.69,Debit,Detroit,Branch,Student,1,1,2
28.310000000000002,59.0,20.0,1.0,8334.47,Credit,Miami,Online,Doctor,1,2,0
59.12000000000003,29.0,257.0,1.0,9823.64,Debit,Baltimore,ATM,Doctor,1,2,2
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,Online,Student,0,1,0
255.26,45.0,50.0,1.0,14815.87,Credit,San Francisco,Branch,Doctor,1,0,1
124.75999999999999,49.0,45.0,1.0,5764.72,Debit,Seattle,Branch,Engineer,1,2,1
78.13,26.0,145.0,1.0,900.6099999999997,Debit,Milwaukee,Branch,Student,1,1,0
335.63,55.0,216.0,1.0,1019.3899999999999,Debit,Oklahoma City,Online,Retired,2,1,0
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,ATM,Retired,2,1,1
34.01999999999998,38.0,19.0,1.0,14214.48,Debit,Philadelphia,Online,Doctor,1,0,1
241.42,57.0,116.0,1.0,13357.02,Credit,Charlotte,Online,Doctor,1,0,2
55.31999999999999,19.0,117.0,1.0,241.78999999999996,Debit,Tucson,ATM,Student,1,1,1
304.31,27.0,33.0,1.0,868.6099999999997,Debit,Louisville,Branch,Student,2,1,0
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,Branch,Retired,2,1,2
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,Branch,Student,1,1,2
510.24,19.0,105.0,1.0,781.6999999999998,Debit,Oklahoma City,Online,Student,2,1,0
626.9,26.0,138.0,1.0,265.5100000000002,Debit,Denver,Online,Student,0,1,2
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,Credit,Sacramento,Online,Engineer,1,1,1
425.34,69.0,121.0,1.0,3907.54,Credit,Kansas City,Online,Retired,2,1,0
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,Online,Engineer,2,2,0
85.43,67.0,145.0,1.0,14904.9,Debit,Virginia Beach,Branch,Doctor,1,0,1
169.5,28.0,142.0,1.0,918.8800000000001,Debit,San Diego,Branch,Student,1,1,1
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,ATM,Retired,1,1,0
316.95,25.0,83.0,1.0,1324.0299999999997,Debit,Mesa,Branch,Student,2,1,0
60.539999999999964,57.0,52.0,1.0,3534.93,Credit,Columbus,Branch,Retired,1,1,2
292.56,68.0,61.00000000000001,1.0,4638.37,Credit,Dallas,Branch,Retired,1,1,2
386.52,48.0,27.999999999999986,1.0,5630.61,Debit,Indianapolis,Branch,Engineer,2,2,0
112.07,23.0,51.0,1.0,930.3000000000002,Debit,Kansas City,Branch,Student,1,1,0
568.52,46.0,152.0,1.0,5499.91,Debit,Indianapolis,ATM,Engineer,2,2,0
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,Online,Engineer,2,2,0
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,Branch,Engineer,2,2,1
5.769999999999982,50.0,124.0,1.0,13988.12,Debit,Charlotte,Online,Doctor,1,0,2
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,Branch,Engineer,1,1,0
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,Branch,Retired,1,1,0
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,Branch,Student,2,1,2
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,Online,Engineer,1,1,2
189.12,32.0,103.0,1.0,977.0100000000002,Credit,Indianapolis,,Engineer,1,1,0
133.55000000000004,44.0,220.0,1.0,3846.28,Debit,Atlanta,ATM,Engineer,1,1,2
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,Online,Engineer,1,2,2
24.769999999999982,62.0,55.0,1.0,5866.01,Debit,Boston,ATM,Retired,1,2,2
233.92,26.0,280.0,1.0,6537.62,Credit,Jacksonville,Online,Student,1,2,0
232.12,37.0,51.0,1.0,6689.87,Debit,,ATM,Engineer,1,2,1
91.53,44.0,69.0,1.0,14676.05,Debit,Milwaukee,Branch,Doctor,1,0,0
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,Debit,Miami,Branch,Student,1,1,0
174.25,50.0,67.0,1.0,10528.34,Debit,Seattle,Online,Doctor,1,0,1
183.71,38.0,102.0,1.0,552.5200000000004,Debit,Denver,ATM,Engineer,1,1,2
345.39,58.0,80.0,1.0,6451.96,Credit,Phoenix,,Engineer,2,2,1
259.91,49.0,170.0,1.0,7176.86,Debit,Denver,Online,Doctor,1,2,2
154.71,34.0,157.0,1.0,1523.7200000000003,Debit,San Diego,Online,Doctor,1,1,1
24.560000000000002,64.0,69.0,1.0,9869.93,Debit,Mesa,Branch,Doctor,1,2,0
568.07,48.0,115.0,1.0,10556.81,,Washington,ATM,Doctor,2,0,1
9.610000000000014,58.0,179.0,1.0,12883.91,Credit,San Diego,Online,Doctor,1,0,1
392.96,24.0,100.0,1.0,791.6499999999996,Debit,Kansas City,Online,Student,2,1,0
716.93,60.0,34.0,1.0,4064.02,Credit,Milwaukee,Online,Retired,0,1,0
230.66,21.0,135.0,1.0,618.0500000000002,Debit,Houston,Branch,Student,1,1,0
644.17,29.0,72.0,1.0,1143.5199999999995,Debit,San Antonio,ATM,Engineer,0,1,1
508.68,51.0,127.0,1.0,7708.41,Credit,Mesa,Branch,Engineer,2,2,0
858.63,27.0,185.0,1.0,1872.96,Credit,San Francisco,Branch,Student,0,1,1
25.360000000000014,57.0,78.0,1.0,201.03999999999996,Debit,Louisville,ATM,Engineer,1,1,0
147.62,71.0,133.0,1.0,2115.8,Debit,Charlotte,Branch,Retired,1,1,2
115.01999999999998,37.0,175.0,1.0,7643.66,Debit,San Antonio,Branch,Doctor,1,2,1
383.37,30.0,24.0,1.0,8901.93,Debit,Fort Worth,Branch,Engineer,2,2,2
98.54000000000002,20.0,167.0,1.0,9383.43,Credit,El Paso,Online,Student,1,2,2
83.23999999999998,55.0,164.0,1.0,1181.3100000000004,,Fort Worth,Branch,Doctor,1,1,2
196.16,27.0,146.0,1.0,9418.86,Debit,Virginia Beach,Branch,Engineer,1,2,1
129.94,32.0,235.0,1.0,7954.92,Debit,Las Vegas,ATM,Engineer,1,2,0
306.9,46.0,51.0,1.0,9418.08,Debit,Colorado Springs,Online,Engineer,2,2,2
114.98000000000002,59.0,80.0,1.0,6144.68,Debit,Seattle,Online,Retired,1,2,1
756.59,27.0,17.0,1.0,420.64999999999964,Debit,Sacramento,Branch,Student,0,1,1
503.76,22.0,35.0,1.0,447.8199999999997,Debit,Los Angeles,Online,Student,2,1,0
143.03,63.0,147.0,1.0,7981.45,Debit,San Antonio,ATM,Retired,1,2,1
245.54,25.0,180.0,1.0,985.0599999999995,,New York,ATM,Student,1,1,0
254.37,51.0,174.0,1.0,8849.26,Credit,Dallas,Online,Engineer,1,2,2
213.76,78.0,282.0,1.0,3528.72,Credit,Dallas,ATM,Retired,1,1,2
327.86,40.0,104.0,1.0,480.15999999999985,Debit,Fresno,Online,Engineer,2,1,2
2.5,47.0,107.0,1.0,12145.27,Debit,San Diego,Online,Doctor,1,0,1
300.08,68.0,47.0,1.0,13546.75,Credit,Austin,Online,Doctor,1,0,2
407.65,26.0,62.0,1.0,8346.64,Debit,Boston,Online,Engineer,2,2,2
115.82999999999998,39.0,167.0,1.0,6481.04,Debit,Fresno,Branch,Engineer,1,2,2
53.56999999999999,69.0,121.0,1.0,1651.33,Debit,Houston,ATM,Retired,1,1,0
63.34,46.0,165.0,1.0,11174.94,Credit,Detroit,Online,Doctor,1,0,2
317.87,27.0,91.0,1.0,145.5,Debit,Detroit,Online,Student,2,1,2
331.65,41.0,61.00000000000001,1.0,4172.57,Debit,Portland,Online,Engineer,2,1,1
5.0400000000000205,56.0,41.0,1.0,5558.36,Debit,Washington,ATM,Retired,1,2,1
214.54,70.0,247.0,1.0,11151.53,Credit,Detroit,Online,Doctor,1,0,2
598.81,57.0,158.0,1.0,1415.52,Debit,Philadelphia,Branch,Doctor,2,1,1
841.28,26.0,80.0,1.0,1103.6400000000003,Debit,Tucson,Online,Student,0,1,1
38.14999999999998,26.0,108.0,1.0,303.6800000000003,Debit,Mesa,Online,Student,1,1,0
124.72,33.0,105.0,1.0,6309.8,Debit,Oklahoma City,Branch,Engineer,1,2,0
302.45,78.0,40.0,1.0,5133.61,Credit,San Antonio,Branch,Retired,2,2,1
208.04,47.0,273.0,1.0,9344.98,Debit,Louisville,Online,Engineer,1,2,0
5.769999999999982,23.0,254.0,1.0,1117.9699999999998,Credit,Los Angeles,Branch,Student,1,1,0
381.33,56.0,75.0,1.0,11835.35,Debit,Albuquerque,ATM,Doctor,2,0,2
16.160000000000025,50.0,124.0,1.0,14401.17,Debit,Milwaukee,ATM,Doctor,1,0,0
486.08,18.0,68.0,1.0,1748.69,Debit,Oklahoma City,Online,Student,2,1,0
336.39,21.0,18.0,1.0,1000.46,Debit,San Antonio,Branch,Student,2,1,1
234.57,23.0,120.0,1.0,263.97999999999956,Debit,Chicago,Online,Student,1,1,2
6.0,30.0,246.0,1.0,5442.76,Debit,Chicago,Online,Doctor,1,2,2
227.14,18.0,294.0,1.0,341.9399999999996,Debit,Charlotte,ATM,Student,1,1,2
233.74,66.0,17.0,1.0,1066.5900000000001,Credit,Oklahoma City,Online,Retired,1,1,0
45.849999999999994,20.0,92.0,1.0,1659.15,Debit,Los Angeles,ATM,Student,1,1,0
415.5,66.0,141.0,1.0,10113.66,Debit,Memphis,ATM,Doctor,2,0,0
265.76,54.0,92.0,1.0,4446.17,Debit,Philadelphia,Online,Retired,1,1,1
69.4,80.0,113.0,1.0,6452.77,Debit,Virginia Beach,Online,Retired,1,2,1
332.93,35.0,293.0,1.0,2788.2,Credit,Albuquerque,Branch,Engineer,2,1,2
267.9,20.0,160.0,1.0,596.1599999999999,Debit,San Antonio,Online,Student,1,1,1
496.03,61.0,265.0,1.0,12904.66,Debit,San Francisco,Branch,Doctor,2,0,1
376.26,37.0,245.0,1.0,9062.4,Debit,Tucson,ATM,Engineer,2,2,1
83.01999999999998,36.0,171.0,1.0,9009.56,Credit,Seattle,Online,Engineer,1,2,1
93.25999999999999,20.0,72.0,1.0,1152.1999999999998,Credit,New York,Online,Student,1,1,0
803.37,68.0,129.0,1.0,12168.37,Credit,Memphis,Branch,Doctor,0,0,0
35.75999999999999,23.0,122.0,1.0,611.8599999999997,Debit,Charlotte,Branch,Student,1,1,2
28.529999999999973,62.0,99.0,1.0,8670.53,Debit,Washington,Online,Doctor,1,2,1
139.53,53.0,177.0,1.0,10098.86,Credit,Louisville,Online,Doctor,1,0,0
307.57,33.0,285.0,1.0,5307.74,Debit,Detroit,Branch,Doctor,2,2,2
60.650000000000006,56.0,53.0,1.0,1047.2799999999997,Credit,Tucson,Branch,Retired,1,1,1
74.86000000000001,70.0,125.0,1.0,6921.48,Debit,Nashville,Branch,Doctor,1,2,0
231.91,34.0,165.0,1.0,112.76000000000022,Debit,Memphis,ATM,Engineer,1,1,0
126.20999999999998,75.0,268.0,1.0,5669.66,Debit,Baltimore,Branch,Retired,1,2,2
304.35,31.0,36.0,1.0,4057.1,Debit,Houston,Branch,Engineer,2,1,0
281.85,22.0,109.0,1.0,1585.98,Debit,Detroit,ATM,Student,1,1,2
777.88,31.0,17.0,1.0,6825.55,Debit,Houston,Branch,Engineer,0,2,0
119.18,56.0,96.0,1.0,5516.5,Debit,Los Angeles,Branch,Retired,1,2,0
177.19,76.0,43.000000000000014,1.0,5343.3,Debit,Chicago,Online,Retired,1,2,2
260.88,22.0,36.0,1.0,903.0500000000002,Debit,Denver,Branch,Student,1,1,2
169.47,24.0,19.0,1.0,1806.1599999999999,Debit,Chicago,Online,Student,1,1,2
73.23000000000002,26.0,13.999999999999986,1.0,787.7399999999998,Debit,Portland,Branch,Student,1,1,1
792.57,19.0,164.0,1.0,770.3699999999999,Debit,Baltimore,ATM,Student,0,1,2
237.06,71.0,46.0,1.0,1182.7699999999995,Debit,Phoenix,Online,Retired,1,1,1
34.170000000000016,54.0,54.0,1.0,726.5500000000002,Credit,Philadelphia,Online,Engineer,1,1,1
